,Chambers,Run,Odor,Corrected Arousal PI,Genotype,Corrected Static PI,GenotypeCorrected
1,5,2,OCT,0.0,CS,-0.24413333333333345,CS
2,6,2,OCT,0.12903225806451615,CS,0.27333333333333343,CS
3,7,2,OCT,0.21483870967741941,CS,0.20333333333333342,CS
4,8,2,OCT,0.9248064516129035,CS,-0.12000000000000008,CS
5,9,2,OCT,0.0,CS,-0.5088999999999999,CS
6,10,2,OCT,0.48393548387096763,CS,-0.5433333333333332,CS
7,11,2,OCT,0.8066451612903226,CS,-0.6703000000000002,CS
8,12,2,OCT,0.6670000000000004,CS,0.22000000000000008,CS
9,13,2,OCT,1.0,CS,-0.5947666666666669,CS
10,14,2,OCT,1.0,CS,0.0522,CS
